Project,ORR,Org_Location,Organization_Name,State,County,Type,Category,Description,FY,Municipality,Sponsor,"6. Which part of LWCF's mission does the project relate to? 
Select all that apply. - Other (please describe): - Text",Program?," Category (if ""other)",Cost_Range,Estimate_Cost,type_rec,"What other types of recreation would the project support, if ""other""",demographics,app_submitted,shovel-ready,"If project is not shovel ready, what is the projected timeline to get it off the ground?",private_match,"If yes, please describe confirmed funders and level of commitment.","Based on the total cost of the project and the private match secured to date, how much LWCF funding will be required to complete the project?",Please comment on the project’s fit with existing state Statewide Comprehensive Outdoor Recreation Plan (SCORP) or local recreation plans.,Please comment on the project’s current buy-in from state and/or local public agencies committed to its future management.,"Please comment on the project’s current support from local, regional or statewide community and/or elected officials (i.e. NGOs and politicians).","Is the project solving for a broader outdoor recreation need (e.g. improved access for park-poor communities, rural development)? Please explain."
Lake Farmington Vendor Sites,,New Mexico,City of Farmington,New Mexico,,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","Lake Farmington is a destination in the community for swimming, beach picnics, camping, fishing, and rafting/paddleboarding. As such, we have a lot of visitors that would love to be able to access amenities, concessions and retail at the beach. To help meet this need, we wish to provide entrepreneurs and businesses dedicated sites to locate their vendor kiosks. We already have a paddleboard rental and snow cone shack, but would like to dedicate up to 6 additional sites with the addition of electricity to allow for ease of point of sale and powering of food trucks if desired.",FY22,Farmington,City of Farmington,,State and Local Assistance Program,,"$0 - $250,000",150000,"Backpacking/Hiking,Biking,Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Yes,,No,,"$0 - $250,000","The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. The SCORP also notes the economic impact of equipment rentals for the State. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development fund, for which outdoor recreation business creation is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that already provides needed management of the property.,"We have had previous support of the current vendors at the lake from City Council, and likewise have had numerous inquiries from local entrepreneurs for the site.",This will help in our overall vision for the Outdoor Recreation Industry Initiative (ORII) to help catalyze outdoor recreation businesses.
Lake Marie Fishing Access,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,Douglas County,Fishing/Boardwalk,,"The development at this lake will consist of adding an ADA dock, paved path, and addition designated ADA parking spaces and a kayak launch site.  The site is located at the Umpqua Lighthouse State Park in Douglas County. This is a popular and established state park with a campground, hiking trail, day use area and beach access. This project will also provide wildlife viewing opportunities and support use by local schools for aquatic and angler education programs.",FY23 and Beyond,"Near Winchester Bay, OR",Oregon Department of Fish and Wildlife & Oregon State Parks,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance Program,,"$0 - $250,000",100000,"Backpacking/Hiking,Biking,Boating,Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching",,"Rural,Low-income,Youth,Adults,Senior,Disabled",New Concept,No,"The project is in the initial planning stages, it will likely be shovel ready before early 2023.",Yes,"Oregon Department of Fish and Wildlife Restoration and Enhancement program grant funding available for 50% non-federal match. LWCF request likely to be in the $30-50,000 range.","$0 - $250,000",Increased access. ADA access. Rural development.,This project is on an established and popular Oregon State Park. Oregon State Parks and Recreation Department would manage the facility. This project is supported by the park manager. This was identified as a priority fishing access project.,Local community organizations have been requesting this development. Restoration and Enhancement program projects are vetted for support by the local community.,Increased access. ADA access. Rural development. 46% of Douglas County households are below the poverty level.
Land Acquisition to Expand Sugarite Canyon State Park,,New Mexico,"Healthy Kids, Healthy Communities",New Mexico,Colfax County,Acquisition,Acquisition,"The project would acquire 2,224 acres of land for sale on Bartlett Mesa that would serve as an expansion of Sugarite Canyon State Park. The property is appraised at $2.75M. The property owner has generously offered to donate some of the land if it helps the acquisition. This acreage is also in close proximity to Fisher's Peak State Park and when combined with Sugarite Canyon State Park and surrounding public lands, would contribute to one of the largest publicly managed wilderness area in the South West.",FY23 and Beyond,Raton,"Unclear. There have been conversations with EMNRD, City, Count and various land conservation organizations. However, no one has committed to any sponsorship  yet.",,State and Local Assistance Program,,"$1,750,000+",2750000,"Backpacking/Hiking,Biking,Campground + Hospitality,Equestrian,Rock Climbing",,"Rural,Low-income,Youth,Adults,Senior",New Concept,Unknown,,Unknown,,Unknown,"By empowering and supporting our local government to continue to offer, improve and increase outdoor recreation opportunities that will: 1. Improve the state’s economic health by increasing the patronage of local businesses, 2. Improve physical health of residents (and visitors) by offering safe, equitable and accessible active transportation opportunities and 3. Improve environmental health by reducing the use of motor vehicles as a way of transportation. Page 7 of The Comprehensive plan states that “local and tribal governments provide most outdoor recreation opportunities used by their residents on a  daily or more frequent basis.” It is the desire of the City of Raton to contribute to the ease and safety of these opportunities by way of this project. It is also the desire of the City of Raton to reduce the negative effects of not exercising, mentioned on page 7 of the Comprehensive Plan; by offering free outdoor recreation opportunities for lower income residents and visitors.","Although there is no official documentation of buy-in, there has been expressed support from Senator Martin Heinrich's office, Director of Outdoor Recreation for the State of New Mexico, Axie Navas, Director of New Mexico State Parks, Christy Tafoya, Superintendent of Sugarite Canyon State Park Superintendent, Robert ""Mac"" McIvor, Colfax County Manager, Mary Lou Kern, Raton City Manager, Scott Berry as well as the Raton Outdoor Recreation Task Force, in which one member is a city commissioner, Lori Chatterley and the other is the Director of Parks and Recreation, Jared Chatterley. There has also been an expressed interest by various land trust organizations.","As mentioned above, in question #19, Senator Martin Heinrich has expressed support, and both Colfax County and City of Raton managers have also expressed their support.","Yes. There is a need for an expansion of outdoor recreation in NE NM. Raton is positioned to be the future Estes Park of New Mexico, and we want to take full advantage of the economic opportunities this could bring. Currently, Sugarite Canyon State Park has limited camping access, with one of it's campgrounds closed during late fall and early spring. Acquiring this property could mean an influx in funding and support for Sugarite to expand personnel as needed, as well as link Sugarite to Fisher's Peak State Park and increasing the general square footage for outdoor recreation."
Leesville Tailrace Bank Fishing Access,,Virginia,Department of Wildlife Resources,Virginia,Campbell County,Development,Fishing/Boardwalk,"This project would be a rebuild of a bank fishing access platfrom located on the Roanoke (Staunton) River immediately downstream from Leesville Dam.  The previous facility was undermined and had to be closed and partially removed.  This was an extremely popular bank fishing location that provided angling for Striped Bass, Walleye, Smallmouth Bass, Largemouth Bass, Channel Catfish, Flathead Catfish, and several other species.  The intent is to provide a bank fishing platform that is safe for public use, given the water level fluctuations associated with operation of the Leesville Hydroelectric Project.",FY23 and Beyond,,Virginia Dept. of Wildlife Resources,,State and Local Assistance Program,,Unknown,,"Fishing,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Unknown,,Unknown,,Unknown,,"The Dept. of Wildlife Resources, in cooperation with American Electric Power, previously operated and maintained a bank fishing facility at this location.  If the facility were reconstructed, we would provide a similar level of support and maintenance.",,"Yes, there is a significant lack of bank fishing opportunities in the area, particularly areas where anglers can be successful.  There are several options for boat-based recreation, but for users without access to boats, the options are extremely limited."
Marr Pond Improvements,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,,Fishing/Boardwalk,,"The development of this pond will consist of 4 cantilever ADA platforms, ADA restroom vault, and a paved walking path around the pond with benches and picnic tables. There will also be two 20 ft. boardwalks over the designated wetland sections that are located along the walking path. The parking area will be improved including designated ADA parking spaces.  An existing pole barn will be improved to provide a covered area for educational events.  This project will provide additional recreational opportunities for children and the disabled.  It will also provide outdoor walking and wildlife viewing opportunities.  This will be the only fully ADA accessible fishing facility in the Enterprise area.  The site is also planned to be incorporated as an access point for a large rails and trails project “Joseph Branch Trail” that is under development. This site is also used by local schools for aquatic and angler education programs.",FY22,"Enterprise, OR",Oregon Department of Fish and Wildlife,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance Program,,"$250,001 - $500,000",500000,"Backpacking/Hiking,Biking,Fishing,Wildlife Watching,Other (please describe):",Education programs,"Rural,Low-income,Youth,Adults,Senior,Disabled",New Concept,Yes,,Yes,"$270,000 funding for this project has been provided threw an Oregon Department of Fish and Wildlife Restoration and Enhancement Program grant and the project is ready to move forward in early 2021. Cultural resource and wetland planning has been completed.","$0 - $250,000","Increased access, ADA accessibility.",This is on an established Oregon Department Fish and Wildlife wildlife area and has been and will be actively managed by ODFW. There are active discussions about this and other future improvements including a partnership with the Joseph Spur Trail sponsors to develop and maintain a portion of the project as a trailhead.,Local support is expected. This project was identified as a high priority fishing access site improvement by the Restoration and Enhancement board. Proposed projects are vetted with the local community.,"Rural development, ADA accessibility, improved access.  45% of households in Wallowa County are below the poverty level."
Multi-use Trail from Climax Canyon Trail to Sugarite Canyon State Park,,New Mexico,"Healthy Kids, Healthy Communities",New Mexico,Colfax County,Planning,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",This multi-use trail would serve as a safe route for active transportation users to get from Downtown Raton (where Nationally Awarded Climax Canyon Trail is located) out to Sugarite Canyon State Park.,FY23 and Beyond,Raton,City of Raton &  Colfax County,,State and Local Assistance Program,,Unknown,,"Backpacking/Hiking,Biking,Campground + Hospitality,Equestrian,Fishing,Wildlife Watching",,"Rural,Low-income,Youth,Adults,Senior",New Concept,No,1-3 years approx.,Yes,"The Project is supported by the city and county and is listed in both ICIP's, private landowners are willing to discuss easements etc. but no official commitments have been made.",Unknown,"By empowering and supporting our local government to continue to offer, improve and increase outdoor recreation opportunities that will: 1. Improve the state’s economic health by increasing the patronage of local businesses, 2. Improve physical health of residents (and visitors) by offering safe, equitable and accessible active transportation opportunities and 3. Improve environmental health by reducing the use of motor vehicles as a way of transportation. Page 7 of The Comprehensive plan states that “local and tribal governments provide most outdoor recreation opportunities used by their residents on a  daily or more frequent basis.” It is the desire of the City of Raton to contribute to the ease and safety of these opportunities by way of this project. It is also the desire of the City of Raton to reduce the negative effects of not exercising, mentioned on page 7 of the Comprehensive Plan; by offering free outdoor recreation opportunities for lower income residents and visitors.","City of Raton has this project listed as #3 on their ICIP, Colfax County has it listed in it's comprehensive plan as well as it's ICIP. Sugarite Canyon State Park has expressed interest in collaborating on this project as well. It would also serve as a route to one of the largest publicly managed wilderness areas in the Southwest.","Although there is no official documentation of buy-in, there has been expressed support from Senator Martin Heinrich's office, Director of Outdoor Recreation for the State of New Mexico, Axie Navas, Director of New Mexico State Parks, Christy Tafoya, Superintendent of Sugarite Canyon State Park Superintendent, Robert ""Mac"" McIvor, Colfax County Manager, Mary Lou Kern, Raton City Manager, Scott Berry as well as the Raton Outdoor Recreation Task Force, in which one member is a city commissioner, Lori Chatterley and the other is the Director of Parks and Recreation, Jared Chatterley.","Yes. This trail will contribute to a much needed cultural shift in this region. A shift that supports active transportation, supports safe, outdoor recreation. Currently, the route to Sugarite State Park is dangerous at multiple points, making it challenging for families or the casual bike riders to use. This multi use trail would be a way to connect local economy to the attraction that is NM & CO State parks through the lens of Outdoor Recreation; (bike shops, equipment rentals etc.)."
North Delaware River Greenway,,Pennsylvania,Delaware River City Corp (d/b/a Riverfront North Partnership),Pennsylvania,Philadelphia County,Combination (Acquisition and Development),State/Local park creation,"DRCC partners with the City of Philadelphia to create an activate an 11-mile network of parks, boat launches, and trails on the Northern Delaware River in Philadelphia.",FY23 and Beyond,Philadelphia,,,State and Local Assistance,,"$1,250,001 - $1,500,000",,"Biking,Boating,Fishing,Canoeing, Kayaking and Rafting,Sailing/Motorboating",,"Urban,Low-income,Youth,Adults,Senior",New Concept,No,"We have secured $232,000 to create a design and construction drawings for the Tacony Boat Launch. An RFP will be released in November 2020, and design is expected to be completed in November 2021. We expect to break ground in early 2023.",No,,"$1,250,001 - $1,500,000",This project aligns with the PA plan by creating healthy access to walking and biking networks that are close to home; providing opportunities for everyone to regularly engage in outdoor recreation for underserved (low-income) communities; addressing infrastructure and maintenance needs in existing outdoor recreation areas; and  foster stewardship of our natural resources.,"The Tacony Boat Launch is part of an 11-mile network of parks and trails on the Delaware River in Northeast Philadelphia. The land is owned and maintained by the City of Philadelphia. Riverfront North Partnership (RNP) is the nonprofit partner that helps create, steward and activate these spaces for the public. The City has provided capital support for park projects on the greenway, and partnered with RNP on a 2018 update of its Master Plan for the Greenway, as well as a corresponding feasibility study for new revenue uses.","The project is supported by Councilman Bobby Henon, Rep. Joseph Hohenstein, and Rep. Michael Driscoll. The East Coast Greenway and Circuit Trails coalition are supporters, as well as the Pennsylvania Environmental Council. RNP is a member  of the Coalition for the Delaware River Watershed. Locally, our work is supported by the Tacony Community Development Corporation and Tacony Town Watch.",
North Foothills Recreation Area,,New Mexico,City of Farmington,New Mexico,San Juan County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","This 80 acre site donated to the city with the express purpose of providing the community with natural attractions for taking in nature and biking is ripe for development. The City was recently recipient of a $30k matching grant to develop a master plan for the site for curated mountain biking experiences. Once completed, we will be primed for the creation of a keynote attraction for all mountain biking skill levels. We need funding to implement this vision.",FY23 and Beyond,Farmington,City of Farmington,,State and Local Assistance Program,,Unknown,,Biking,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",New Concept,Yes,,Yes,The IMBA provided a $30k matching grant for the master plan.,Unknown,"The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. It likewise mentions the need to increase the rate of trail construction. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which this project is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,City Council views the creation of outdoor recreation assets as a priority. Likewise there is a regional buy-in to the creation of trails.,"Only 6% of land in San Juan County is privately held, as such, having a trail system that is not on Federal land is rare. The addition of this City owned asset will provide us the tools to create something that fits the community's needs and desires."
OMDP - San Augustine Pass,,New Mexico,BLM,New Mexico,Doña Ana County,Acquisition,Acquisition,"Purchase approximately 600.0 acres within the Organ Mountains-Desert Peaks National Monument.  Parcel would provide public access to the northern portion of the Organ Mountains for hiking or dispersed, primitive camping. (BLM Las Cruces Unit)",FY23 and Beyond,"Near Organ, NM",BLM,,Bureau of Land Management,,Unknown,,"Backpacking/Hiking,Equestrian,Hunting,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",New Concept,No,No timeline established to date.,No,,,,,,Improved access to the northern portion of the Organ Mountains.
Pedestrian Bridge,,New Mexico,Village of Ruidoso,New Mexico,Lincoln County,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",,Install a pedestrian bridge across the Ruidoso River near the Midtown Shopping District to provide a connection to surrounding neighborhoods and extend the existing Ruidoso River Trail.,FY23 and Beyond,Ruidoso. NM,Village of Ruidoso,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands",State and Local Assistance Program,,"$250,001 - $500,000",,"Biking,Fishing,Wildlife Watching",,"Rural,Low-income,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,6-9 months for engineering.,No,,"$250,001 - $500,000","In the 2016-2020 SCORP, Statewide Residents across the state expressed that they would prefer improving and maintaining existing facilities over building new facilities.  However, the survey also found that there is a statewide desire for more trails, campsites, boating and swimming opportunities, playgrounds, and more outdoor recreation options for youth. 
Also, in the Village of Ruidoso 2019 Comprehensive Plan, POLICY 1.1. States: Expand and enhance parks and recreation opportunities.",Increased Outdoor Recreation was a goal of the 2106 South Central Mountain Economic Development Association's Economic Development Plan. Leaders from Lincoln and Otero  Counties as well as surrounding municipalities participated in this preparing this plan.,"The Village of Ruidoso 2019 Comprehensive Plan, POLICY 1.1. States: Expand and enhance parks and recreation opportunities.

Increased Outdoor Recreation was a goal of the 2106 South Central Mountain Economic Development Association's Economic Development Plan. Leaders from Lincoln and Otero  Counties as well as surrounding municipalities participated in this preparing this plan.","The bridge would provide surrounding neighborhoods with a connection to shopping district, and existing River Trail, as well as restaurants and entertainment. This would vastly improve the safety and ability to walk and bike in the neighborhood that currently requires a significant alternate route."
Pickleball Courts,,New Mexico,City of Farmington,New Mexico,San Juan County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","The City of Farmington identified pickleball as a desired asset for the community. In an effort to do this, they have committed to converting some older tennis courts into 6 pickleball courts. As such, they wish to provide a clean slate on the site with resurfacing and striping, shade structures, and fencing.",FY23 and Beyond,Farmington,City of Farmington,,State and Local Assistance Program,,"$0 - $250,000",,Ball Sports,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Yes,,No,,"$0 - $250,000","The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which this project is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,City Council has identified this project as a CTED priority,
Pinon Mesa Trail Development,,New Mexico,City of Farmington,New Mexico,San Juan County,Planning,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","The City owns a 780 acre part of the Pinon Mesa badlands. This unique and topographically diverse area provides the perfect place for a robust mountain biking trails system that we could call our own. At present, we are in need of a comprehensive master plan for the development of trails on the site.",FY23 and Beyond,Farmington,City of Farmington,,State and Local Assistance Program,,Unknown,,Biking,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults",New Concept,No,Unknown until plan has been developed.,No,,Unknown,"The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. It likewise mentions the need to increase the rate of trail construction. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which trail development is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,City Council views the creation of outdoor recreation assets as a priority. Likewise there is a regional buy-in to the creation of trails.,Creation of trails in our area that are City owned and controlled is a huge asset as most land and trails are on Federal land.
Pump Track,,New Mexico,Taos Mountain Bike Association,New Mexico,Taos County,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",,Install a bike pump track in a central location in town with connections to area trails as part of a progressive mountain bike on-boarding strategy for the local community.,FY22,Town of Taos,Town of Taos,"Developing recreational areas, trails, and waterways,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings",State and Local Assistance Program,,"$0 - $250,000",,"Biking,Playground",,"Rural,Urban,Low-income,Communities of color,Immigrants,Tribal/Native American,Youth,Adults",New Concept,Yes,,Unknown,,"$0 - $250,000",,Initial interest is high with the Town of Taos. Still working on finding a suitable location before they will commit.,"Supported by Taos Mountain Bike Association (NGO), Enchanted Circle Trails Association (NGO), Field Institute of Taos (Youth programming)","Creating connections to area trails, and providing outdoor community recreation opportunities for low-income communities."
Railroad Right-of-Way Trail Farmington to Aztec,,New Mexico,City of Farmington,New Mexico,San Juan County,Planning,Planning (State Comprehensive Outdoor Recreation Plans (SCORPs) and Master Plans),"The City of Farmington in conjunction with San Juan County own railroad Right-of-Way spanning from the City of Farmington to the City of Aztec. Collectively, we have developed a vision for using this ROW to create a community spanning biking trail system that could eventually span across state lines and into the Navajo Nation. As such, we need assistance with creating a conceptual plan and construction documentation to make this vision a reality.",FY23 and Beyond,,City of Farmington (in conjunction with San Juan County and City of Aztec),,State and Local Assistance Program,,Unknown,,Biking,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",New Concept,No,Unknown until planning is complete.,No,,Unknown,"The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. It likewise mentions the need to increase the rate of trail construction. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which trail development is a priority.","The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property. Likewise, the other communities manage numerous parks and trails systems.",City Council views the creation of outdoor recreation assets as a priority. Likewise there is a regional buy-in to the creation of trails.,Creating cross jurisdiction trail systems is a high priority of the region.
Riverside Market Kiosks,,New Mexico,City of Farmington,New Mexico,San Juan County,Development,Other (please describe on next page):,"The Animas River is a major attraction and gem in the high-desert landscape of New Mexico. We host miles of trails along the river in the heart of our community, and are expanding them to span nearly the entire City. As such, we wish to help bring much desired food, retail, and rentals to the trail system to allow citizens and visitors to further enjoy the prime riverfront space. The desire of the City is to construct and rent small ""semi-permanent"" kiosks to area entrepreneurs to provide these services.",FY22,Farmington,City of Farmington,,State and Local Assistance Program,Outdoor recreation job creation.,"$0 - $250,000",,"Backpacking/Hiking,Biking,Fishing,Canoeing, Kayaking and Rafting",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",New Concept,No,"Based on locations chosen, it could take 60-90 days to install needed electrical infrastructure for the sites.",No,,"$0 - $250,000","The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. The SCORP also notes the economic impact of equipment rentals for the State. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, for which outdoor recreation business creation is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property. The Farmington Electric Utility will also be able to assist with infrastructure.,"City Council has identified this project as a CTED priority, and the entire region has identified outdoor recreation business creation as a strategic diversification target.",Providing much needed assistance and reduction of overhead for entrepreneurs interested in outdoor recreation.
Shade Structure at the Baseball and Softball Fields,,New Mexico,City of Farmington,New Mexico,San Juan County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","In order to provide more shade to spectators and players in our youth sports groups, we we wish to construct shade structures are our ball parks. We would construct approximately 5-6 of these structures at our existing baseball and softball fields.",FY23 and Beyond,Farmington,City of Farmington,,State and Local Assistance Program,,"$0 - $250,000",50000,Ball Sports,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",New Concept,Yes,,No,,"$0 - $250,000","The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which this project is eligible.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,City Council has identified sports asset upgrades as a CTED priority.,
Snake River Boating and Fishing Public Access,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,Malheur County,Development,Other (please describe on next page):,"Access to the Snake River for hunters and anglers is very limited along the Oregon-Idaho border.  A crude boat ramp is currently used to launch boats and is located near Adrian, Oregon.  The launch site is located partially on private and partially on Oregon Department of Transportation right of way.  Improving a rudimentary boat launch with gravel will make it easier for hunters and anglers launch and retrieve boats at this location.  It will also provide some, although limited, access for bank anglers as well.",FY23 and Beyond,"Adrian, OR",Oregon Department of Fish and Wildlife,,State and Local Assistance Program,"Fishing, hunting, boating access are provided by this project","$0 - $250,000",10000,"Boating,Fishing,Hunting,Canoeing, Kayaking and Rafting,Wildlife Watching,Sailing/Motorboating",,"Rural,Urban,Low-income,Youth,Adults,Senior",New Concept,No,,No,,"$0 - $250,000","Increased access, rural development.","Unknown, but likely to be favorable.","Unknown, but likely to be favorable.",
Southside River Trail Connection,,New Mexico,City of Farmington Parks and Recreation,New Mexico,San Juan County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",The City of Farmington is working to make river trail connection throughout many portions of the city. The Southside River Trail Connection includes several bridges to connect points along the northern and southern edges of the river. We require bridges to maneuver beyond privately held land parcels adjacent to trails.,FY22,Farmington,City of Farmington,,State and Local Assistance Program,,"$250,001 - $500,000",,"Biking,Wildlife Watching,Other (please describe):",running and trekking,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,1 year,No,,Unknown,"The State SCORP cites Attracting Out of State Visitors as a priority, which this would be a part of. Likewise the Northwest region the City of Farmington resides in is cited as being low in local facilities meeting outdoor recreation needs. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development fund, of which this project is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,,The project will provide access to portions of the river that community members have previously not been able to access. Our trail network is very well used; providing additional trail mileage is a necessity for our community.
State Land Lease/Purchase at Lake Farmington,,New Mexico,City of Farmington,New Mexico,San Juan County,Acquisition,Acquisition,"As a long term need to expand the capacity of our local reservoir at Lake Farmington, the city wishes to either expand its lease or purchase a 600+ acre parcel owned by the State of New Mexico to the North. This would also allow us to expand our already existing bike trails in conjunction with the BLM land to the West.",FY23 and Beyond,Farmington,City of Farmington,,"State and Local Assistance Program,Other (please describe):",,Unknown,,"Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Other (please describe):",drinking water,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,Depends on timeline for state approval.,No,,Unknown,"The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs, including those for watersports. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which improvements and maintenance of existing parks is a priority.",The The City of Farmington has a robust Parks and Cultural Affairs Department that already provides needed management of the property. Likewise our Community Works department manages our water safety and supply to ensure ample clean drinking water.,"City Council views the creation of outdoor recreation assets as a priority. Likewise, the preservation of our water supply is a major concern in the community.",Provides further inter-jurisdictional trail connections.
Sugarite Canyon State Park Connection Trail,,New Mexico,Raton Parks and Recreation,New Mexico,Colfax County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",The project would create a 5 mile multi-use recreation trail connecting the Climax Canyon National Recreation Trail in Climax Canyon Park on the west side of Raton with the recreation trail in Roundhouse Memorial Park in downtown Raton and then east to the entrance of Sugarite Canyon State Park.,FY23 and Beyond,Raton,Raton/Colfax County,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1500000,"Backpacking/Hiking,Biking,Equestrian,Wildlife Watching",,"Rural,Low-income,Communities of color,Youth,Adults,Senior,Disabled",New Concept,Yes,,Unknown,,"$1,250,001 - $1,500,000","This project is currently number 3 on the City of Raton's ICIP plan and correlates with New Mexico's SCORP and New Mexico's Outdoor Recreation Division's Outdoor Equity Plan in providing and promoting more recreation trails and access for low income, rural residents to the outdoors.",,This project is currently number 3 on the City of Raton's ICIP and is endorsed by the Colfax County Commission and the Colfax County Manager and the leadership of New Mexico State Parks.,The trail will connect the City of Raton with the State Park.  With the recreation development in southern Colorado surrounding the development of Fishers Peak State Park and the trail development going on there in that area this trail will be part of a loop trail that will eventually connect Raton and Sugarite Canyon State Park in New Mexico with Fishers Peak State Park and Trinidad in Colorado.  This loop trail will be integral in developing the Outdoor Recreation economies in both Raton and Trinidad.
